I_mean,FIPS
112.75,28135
115.19,28027
None,28023
None,36045
None,40099
260.88,06011
None,13301
112,20057
145,31005
None,27069
None,40039
106,40065
None,48121
None,40061
None,40085
None,40109
None,40037
None,46081
55.67,48093
None,48499
None,38097
None,54065
77.67,48069
None,48123
381.67,12057
None,48255
None,48293
76.5,53063
None,48423
None,38095
None,42123
None,12097
None,28141
None,42065
None,54053
None,27089
None,40095
None,42049
82.14,48089
None,48337
None,48419
64.56,30047
544.67,06085
None,48251
None,12071
180.14,31101
None,38019
None,40077
None,48055
111.5,05079
152.14,31157
44.5,40049
None,48449
None,12029
None,05125
97.14,20069
131.75,20097
None,12017
217,12111
137.5,20153
None,55129
None,05127
None,20135
45.5,48157
None,40089
None,42115
None,48005
None,48187
45,48149
None,48285
53.58,49031
None,54005
None,54015
None,54019
None,54039
None,54043
None,54045
None,54047
None,54059
None,54099
None,54101
None,54109
None,36089
61,48493
None,27035
None,48177
None,22033
None,40137
None,48185
73,30093
None,01081
120.43,41061
None,38087
None,40083
None,40143
None,48001
None,22085
None,48379
None,05051
119.2,20151
None,27029
None,48469
None,20039
116,20063
101,20083
None,21127
221.67,06049
516.86,06075
60.9,22003
None,46117
None,05027
None,26001
None,45023
None,40053
None,48477
None,36111
None,01023
None,48491
67.5,40149
None,40111
189,12107
78,20171
None,22061
None,55013
82,48041
72.13,48395
None,27115
None,20195
116,38055
None,01037
53.75,16037
82,32033
None,42127
59.64,49055
400.57,53021
None,38101
None,40067
118.25,27159
None,48403
None,38075
None,01007
None,22027
109.88,05001
None,20019
None,40117
None,48097
61.14,48321
80.75,40011
None,38025
None,28077
None,45039
107.81,05037
None,48287
None,48073
None,05071
54.64,22019
None,40023
87.75,48051
None,37199
None,40027
None,54075
None,21201
109,31049
None,28115
None,55007
None,05135
None,48147
None,48217
None,05011
None,05013
None,05039
271.29,12011
271.29,12043
271.29,12087
None,38079
None,22057
100.75,28033
None,28037
228,06103
None,27059
289.63,06007
None,54031
None,22115
201,31117
None,38085
None,40047
None,05083
None,05149
None,40103
90,46121
None,12019
None,21019
None,21077
None,01073
None,01087
None,28099
None,36007
196.5,31029
55,40075
None,28005
None,48181
None,48241
None,51157
None,01025
None,05025
None,22075
None,05099
None,40003
None,05103
261.43,06039
None,05047
None,46085
None,05115
None,20165
84,40141
None,27065
None,21037
None,21117
None,40135
None,05029
None,38067
None,40033
None,05019
None,22051
None,22071
None,22087
None,22089
None,22095
76.25,41037
284.2,06093
None,28071
None,38057
None,28061
None,01075
None,51071
94.25,38065
156.63,41045
None,40087
209.5,21191
None,48277
None,54091
None,54093
97.5,13079
None,51045
None,38035
89.79,48215
None,38001
None,48467
None,27135
68.63,51027
68.63,51051
68.63,51195
None,28159
None,28075
None,38037
None,05139
299.38,06107
None,20051
93.38,20065
237.6,06105
None,51091
None,38083
99,16041
89.67,32015
201.67,12049
None,42117
None,54067
None,36025
None,26003
None,26013
None,26043
None,26053
None,26061
None,26071
None,26083
None,26095
None,26097
None,26103
None,26153
None,40079
151,20179
39.83,48473
None,26031
None,36015
None,27107
None,21023
None,48223
110.57,20047
None,38009
None,28009
None,28079
None,20167
None,40113
None,40147
None,45015
None,21237
None,22109
78,56039
None,28041
306.83,06015
None,06043
250,12081
None,21153
164.2,31057
131.25,28151
None,40051
None,48015
None,48313
116.71,20185
None,47121
None,39111
None,16085
None,26069
None,20163
125.38,28107
None,29055
125.6,31009
None,45087
None,48037
None,01131
194.38,16011
None,05045
None,50019
None,01057
None,28029
None,29221
None,40031
None,45001
None,01119
None,38063
None,40071
None,40119
None,36065
None,46075
None,48063
None,51065
None,46095
62.5,48387
None,26047
None,45047
None,12101
None,20077
46.5,40013
None,48309
None,48331
None,38049
None,51031
None,29213
232.57,12103
None,47173
None,29035
None,48273
116.57,05117
None,27021
None,28069
None,45021
58,42019
110,20191
66.13,40015
None,40091
252.75,06019
None,55113
34.7,30063
88.5,20095
62.63,49013
97.4,05145
93.75,28063
None,48119
126.33,20145
177,05043
None,28105
106,20137
None,27005
418.67,41059
107.33,55051
107.33,55085
107.33,55125
None,05129
133,27111
None,21081
49.33,40073
101.7,22049
101.7,22127
None,05097
None,47175
None,28113
None,51089
47,45007
296.14,06115
None,55099
None,01011
None,21043
None,21175
176.2,31113
79.5,38005
None,13141
50,01021
None,01123
198,31085
None,54063
112.6,20009
None,36011
None,38041
40,51111
None,28153
None,38069
None,40101
None,05059
None,48159
None,38099
None,28065
None,21121
None,47001
None,39087
101,20155
None,05101
None,01027
None,21235
None,28057
None,05105
None,28021
None,36115
None,47025
None,37057
None,42015
None,13055
None,28111
None,05081
57.5,01063
None,51019
None,05109
None,39121
None,47087
None,20035
None,29181
None,38089
72.07,51117
184.38,31111
None,38039
157,20193
None,47067
132.71,28051
None,29123
None,05057
253.75,06113
None,40021
57.14,16059
None,22091
None,28043
None,01047
None,29153
None,01111
None,29179
58.5,37153
256.4,12051
88.25,05123
98.5,20159
None,29149
None,48027
None,38027
97.25,38059
95.5,12003
95.5,12031
95.5,12089
95.5,12123
None,28049
None,22125
None,47063
None,28147
125,01117
225.33,06001
190.5,12069
151.57,31087
None,54089
196,12055
155.5,12119
None,21183
193.71,13007
None,21187
None,47159
97,48489
None,51135
None,51177
None,05091
101.94,05095
None,20049
61.36,37157
110.75,41001
None,51009
None,13105
None,28067
None,51021
54,40017
78,20147
None,28101
None,05089
None,20053
None,05023
None,22031
None,51023
None,27125
None,21165
None,01017
None,28093
77.5,45045
None,45059
None,28145
None,47189
None,01107
None,51069
None,06063
None,28001
None,01059
None,51017
None,28139
103.58,05077
None,51167
None,45077
None,47083
None,38103
150.5,31017
None,06091
None,13143
None,21109
None,05113
83,20141
None,29017
None,40105
55,51083
None,27027
None,01101
175,21013
175,21071
175,21095
175,21115
175,21119
175,21129
175,21131
175,21133
175,21147
175,21159
175,21189
175,21193
175,21195
175,21197
None,01001
None,29169
None,47043
None,54025
None,28019
142.33,06005
None,47015
None,26007
None,47055
215,06109
None,36019
None,36095
None,38043
None,38091
90.6,51085
105.5,27097
122,37087
62.5,01125
None,47013
None,39009
256.63,06031
51,51053
None,22015
134,28015
None,28025
None,40145
None,47081
167,27119
111.8,16043
118.43,49011
None,51011
None,05137
None,29203
154.5,31145
101,38015
None,21031
None,36003
None,28157
None,51187
313.75,21097
275.67,06009
None,40131
None,51029
None,50005
123.6,05055
113.83,05075
None,47085
118.75,05111
None,26041
None,27113
None,28081
None,42111
67,20205
None,21151
None,45083
None,21065
None,28123
None,40041
None,38093
195.17,06013
None,47155
None,20105
None,22021
None,45091
None,36099
None,21181
None,01015
None,36101
107,01121
230,12027
None,47029
52.5,22055
None,01085
None,28137
None,06057
73.43,48481
None,28085
None,28155
None,47073
None,12079
None,01093
121.2,05003
None,05141
None,21089
None,21107
None,28091
None,47143
None,51049
147.5,26127
136,28163
140.71,31149
None,13237
None,21125
None,47105
None,37189
None,47169
None,01127
None,05033
None,51163
None,42053
110.67,27123
None,47119
None,13207
None,01113
None,29093
None,39013
188.67,47171
None,01051
None,51061
268.25,06101
None,01013
110,12083
None,47091
None,51003
None,21057
None,21143
91.44,49057
None,20061
None,20161
None,55095
126.83,20079
None,29029
None,47109
None,18173
None,28117
113.79,05085
None,47069
None,54003
None,12117
None,12061
None,22103
None,22063
161.75,06003
None,36017
None,37161
None,42073
None,05061
117.6,22059
58.17,51005
58.17,51161
None,05005
None,47107
35.17,51037
66.5,45037
None,28039
None,13197
None,28097
None,50017
162.83,31135
None,21215
None,28007
None,47135
183.5,27009
None,55107
None,29125
None,51141
None,47039
None,01129
None,50027
136.75,55067
None,05133
None,20149
59.5,22001
None,48145
None,47061
None,36043
117.4,20177
53.2,22113
None,29065
72.83,51025
108.81,05067
None,39059
None,45073
None,47145
None,21055
270,06047
None,38031
58.5,26039
58.5,26119
58.5,26135
58.5,26143
None,38003
273.5,06051
None,21091
None,28087
149.2,31115
None,54037
None,20139
None,26109
None,27129
108.88,28011
None,29161
None,36009
None,38029
None,55075
None,13045
None,47019
None,47161
None,40097
None,47011
115.14,05069
None,47093
None,47027
None,22017
None,28149
96.7,28103
None,22081
65,37067
None,47101
102.88,32009
102.88,32021
102.88,32023
None,21015
None,37071
None,51121
None,47117
39.75,51143
None,29067
None,22117
75.5,13181
75.5,13241
75.5,13257
74.5,22077
128,42023
128,42047
128,42113
202.5,12093
None,20001
None,22121
None,28127
1120,06073
None,28003
None,29223
None,51183
None,27087
118.75,28133
47.75,36063
None,38017
None,38047
None,42063
None,42085
None,51047
None,51109
None,47089
None,29099
60.5,45065
None,50021
None,47139
95.4,05063
None,51105
None,13231
202.5,47057
115,28013
None,51169
None,28059
None,28035
113.9,16071
None,29187
None,38071
None,47103
93,20173
None,29073
98,37169
None,45069
None,47181
None,01133
None,13295
None,13317
None,28129
None,37115
154,55017
50,22045
None,27095
None,01035
None,28089
52.21,37077
None,20125
73,20183
None,50015
None,47153
None,01109
None,16021
None,28121
None,45057
124,22065
None,29105
None,37025
167.38,53077
None,40001
60,37033
None,05087
None,47003
87.79,13053
87.79,13063
87.79,13097
87.79,13113
87.79,13145
87.79,13149
87.79,13151
87.79,13215
87.79,13249
87.79,13255
87.79,13263
None,47129
106.2,22079
None,05049
148.14,29023
68.75,45029
115.5,22025
None,40035
None,47133
197.29,31071
None,45081
283.75,06077
None,47059
None,28017
None,28095
None,39119
337.33,06023
None,36091
None,45071
None,36049
None,42009
None,21005
80,41019
None,55019
None,01077
None,50001
None,47099
None,28047
None,36041
None,36113
122.5,05031
137.8,05121
None,37021
71.5,51620
44,45005
None,01029
None,47071
None,47127
None,20059
119.33,25027
None,26141
None,29085
183,37023
122,37035
196.5,55077
228.5,06021
250.75,06061
None,20015
72,37009
63.33,37119
None,29131
None,51043
185,21059
165.83,31063
125,47009
103,05147
None,42035
None,20115
None,39167
None,55057
None,47065
None,01091
105.14,20113
None,13159
74.5,01105
162,06095
136.25,20201
None,01055
None,20073
180,31103
144.33,55037
144.33,55041
144.33,55078
None,39081
None,05009
None,20031
None,17003
None,18029
None,21205
58.3,45011
96.2,20197
None,37045
